Date,VIX_mean,VIX_max,VIX_min,VIX_end,VIX_std
1999-09-30,23.320625,28.45,17.42,25.41,2.6348554220750144
1999-12-31,22.65828125,28.75,19.11,24.64,1.917819988149159
2000-03-31,23.15031746031746,27.01,19.21,24.11,1.6576158240599932
2000-06-30,24.923968253968255,33.49,19.54,19.54,3.159191168271649
2000-09-30,19.16904761904762,21.88,16.53,20.57,1.3323732334371334
2000-12-31,26.016666666666666,31.74,21.03,26.85,2.2698216499497574
2001-03-31,25.726451612903226,32.84,20.27,28.64,3.2499110185923312
2001-06-30,23.923809523809524,34.72,19.06,19.06,3.69065359565669
2001-09-30,25.380338983050848,43.74,18.76,31.93,6.524600388371448
2001-12-31,27.91,35.31,21.4,23.8,4.320588584242395
2002-03-31,21.360833333333336,26.09,17.4,17.4,2.0912159237027708
2002-06-30,21.643125,28.42,17.7,25.4,2.8524959134953947
2002-09-30,35.0684375,45.08,27.11,39.69,4.468290471988535
2002-12-31,30.72671875,42.64,23.16,28.62,4.330648272409737
2003-03-31,30.022622950819674,34.69,24.25,29.15,3.0221553575990256
2003-06-30,21.531269841269843,29.13,18.4,19.52,2.618944315795409
2003-09-30,19.32015625,22.72,17.54,22.72,1.2349005386174945
2003-12-31,17.4271875,21.07,15.58,18.31,1.1733353202769947
2004-03-31,16.65806451612903,21.58,14.34,16.74,1.8126249770001646
2004-06-30,16.21126984126984,19.96,13.98,14.34,1.479916619342055
2004-09-30,15.4421875,19.34,13.17,13.34,1.4860637991282089
2004-12-31,13.65140625,16.58,11.23,13.29,1.3649464983845998
2005-03-31,12.787049180327868,14.65,11.1,14.02,0.9703561962191948
2005-06-30,13.40734375,17.74,11.05,12.04,1.6546560014501281
2005-09-30,12.25078125,14.17,10.23,11.92,1.0439474910584832
2005-12-31,12.781746031746032,16.47,10.27,12.07,1.8195582055796031
2006-03-31,12.04241935483871,14.56,10.74,11.39,0.824200925455006
2006-06-30,14.528730158730157,23.81,11.13,13.08,2.944344218603552
2006-09-30,13.607936507936508,18.64,11.18,11.98,1.808814581280273
2006-12-31,11.034920634920635,12.67,9.9,11.56,0.6480886862247276
2007-03-31,12.56360655737705,19.63,9.89,14.64,2.5961625737402527
2007-06-30,13.731904761904762,18.89,11.98,16.23,1.3195745369342893
2007-09-30,21.589206349206346,30.83,14.72,18.0,4.464788150733108
2007-12-31,22.02984375,31.09,16.12,22.5,3.318511089060014
2008-03-31,26.120163934426227,32.24,21.9,25.61,2.266288075100838
2008-06-30,20.67296875,24.12,16.3,23.95,2.1314505677630566
2008-09-30,25.0734375,46.72,18.81,39.39,5.629007417295544
2008-12-31,58.6046875,80.86,39.81,40.0,10.13422755589995
2009-03-31,45.0,56.65,38.56,44.14,3.66116056280883
2009-06-30,33.01571428571428,42.28,25.35,26.35,4.24487877948647
2009-09-30,25.48625,31.3,23.08,25.61,1.8301248981578118
2009-12-31,23.071875,30.69,19.47,21.68,2.603803003179213
2010-03-31,20.149672131147543,27.31,16.35,17.59,3.011429321331824
2010-06-30,26.391428571428573,45.79,15.58,34.54,7.767697142268689
2010-09-30,24.28359375,32.86,21.21,23.7,2.2844966568586678
2010-12-31,19.318437499999998,23.54,15.45,17.75,1.8862789596165392
2011-03-31,18.614838709677418,29.4,15.46,17.74,2.7085545972613976
2011-06-30,17.482380952380954,22.73,14.62,16.52,1.7401600911574606
2011-09-30,30.58359375,48.0,15.87,42.96,8.963077059359904
2011-12-31,29.93952380952381,45.45,20.73,23.4,4.875447846615647
2012-03-31,18.20403225806452,22.97,14.26,15.5,2.1904819887880036
2012-06-30,20.035714285714285,26.66,15.64,17.08,2.7208571433410538
2012-09-30,16.192698412698412,20.47,13.45,15.73,1.623143312843845
2012-12-31,16.752903225806453,22.72,14.33,18.02,1.5111556614406645
2013-03-31,13.527,18.99,11.3,12.7,1.2517571378679608
2013-06-30,14.837031249999999,20.49,12.06,16.86,2.0957157202159644
2013-09-30,14.2796875,17.01,11.84,16.6,1.34638489361179
2013-12-31,14.2328125,20.34,12.19,13.72,1.8816494526607275
2014-03-31,14.828852459016392,21.44,12.14,13.88,1.9155887679428631
2014-06-30,12.738253968253968,17.03,10.61,11.57,1.4060600864535862
2014-09-30,13.07265625,17.03,10.32,16.31,1.673904514721423
2014-12-31,16.07234375,26.25,11.82,19.2,3.474641350539786
2015-03-31,16.564754098360655,22.39,13.02,15.29,2.4591289830326635
2015-06-30,13.740158730158731,18.85,12.11,18.23,1.2418034388944064
2015-09-30,19.30734375,40.74,11.95,24.5,6.828895246865246
2015-12-31,17.03328125,24.39,14.15,18.21,2.2732328246790763
2016-03-31,20.486229508196722,28.14,13.56,13.95,4.2083302959465305
2016-06-30,15.6759375,25.76,13.1,15.63,2.641323452993468
2016-09-30,13.23390625,18.14,11.34,13.29,1.5749443096100308
2016-12-31,14.097936507936508,22.51,11.27,14.04,2.39931721385021
2017-03-31,11.691935483870967,13.12,10.58,12.37,0.6089949761823449
2017-06-30,11.426349206349206,15.96,9.75,11.18,1.7655761205279095
2017-09-30,10.944285714285714,16.04,9.36,9.51,1.4817543158481319
2017-12-31,10.307936507936507,13.13,9.14,11.04,0.7858982096326074
2018-03-31,17.354754098360658,37.32,9.15,19.97,6.256057492957628
2018-06-30,15.3375,23.62,11.64,16.09,2.823710831006398
2018-09-30,12.856825396825396,16.14,10.85,12.12,1.068919903147377
2018-12-31,21.053650793650796,36.07,11.61,25.42,4.55447362547203
2019-03-31,16.47,25.45,12.88,13.71,2.693674689589179
2019-06-30,15.183015873015872,20.55,12.01,15.08,2.079384706543862
2019-09-30,15.96015625,24.59,12.07,16.24,2.833893217615865
2019-12-31,13.98578125,20.56,11.54,13.78,2.1084898716120204
2020-03-31,31.22451612903226,82.69,12.1,53.54,22.20375316652713
2020-06-30,34.493650793650794,57.06,24.52,30.43,6.781342121797293
2020-09-30,25.80890625,33.6,21.35,26.37,2.8016339434294757
2020-12-31,25.62171875,40.28,20.57,22.75,4.63692856563668
2021-03-31,23.20245901639344,37.21,18.86,19.4,3.484968988737059
2021-06-30,18.0,27.59,15.62,15.83,2.050180165175105
2021-09-30,18.28734375,25.71,15.07,23.14,2.307124398698827
2021-12-31,19.27515625,31.12,15.01,17.22,3.774657765286764
2022-03-31,25.372903225806454,36.45,16.6,20.56,5.03875387505999
2022-06-30,27.3984375,34.75,18.57,28.71,3.996722156471693
2022-09-30,24.792727272727273,32.6,19.53,31.62,3.180856462050408
2022-12-31,25.00265625,33.63,19.06,21.67,4.013323145924224
2023-03-31,20.6840625,26.52,17.87,18.7,1.9914832302455372
2023-06-30,16.44125,20.09,12.91,13.59,2.0091129686095095
2023-09-30,15.01323076923077,18.94,12.82,17.52,1.5465648504147702
2023-12-31,15.28625,21.71,12.07,12.45,2.923457129376381
2024-03-31,13.712539682539683,15.85,12.44,13.01,0.7618376938607034
2024-06-30,13.980307692307692,19.23,11.86,12.44,1.8967092960826002
2024-09-30,17.066666666666666,38.57,12.03,16.73,4.291401540229856
2024-12-31,17.363230769230768,27.62,12.77,17.35,3.252658579768013
2025-03-31,18.52111111111111,27.86,14.77,22.28,3.1805153321085866
2025-06-30,23.56140625,52.33,16.32,16.73,7.819223333978059
2025-09-30,15.983030303030304,20.38,14.22,16.28,1.054921024673585
2025-12-31,17.74523076923077,26.42,13.47,14.95,2.795988816418706
2026-03-31,19.408545454545454,29.49,14.49,24.06,3.698140382619659
